TIMESTAMP;SW_IN;SW_BELOW
201907261015;843;551
201907261030;871;542
201907261045;898;608
201907261100;918;783
201907261115;937;625
201907261130;952;496
201907261145;967;549
201907261200;980;618
201907261215;942;615
201907261230;888;595
201907261245;918;578
201907261300;979;448
201907261315;981;348
201907261330;948;430
201907261345;946;314
201907261400;924;503
201907261415;901;548
201907261430;872;561
201907261445;842;430
201907261500;804;307
201907261515;768;245
201907261530;726;331
201907261545;685;375
201907261600;640;357
201907261615;594;227
201907261630;546;200
201907261645;497;236
201907261700;448;131
201907261715;397;75
201907261730;345;69
201907261745;293;66
201907261800;241;49
201907261815;191;40
201907261830;142;30
201907261845;96;22
201907261900;59;12
201907261915;26;4
201907261930;4;0
201907261945;-2;0
201907262000;-4;0
201907262015;-4;0
201907262030;-4;0
201907262045;-4;0
201907262100;-4;0
201907262115;-4;0
201907262130;-3;0
201907262145;-4;0
201907262200;-3;0
201907262215;-3;0
201907262230;-3;0
201907262245;-2;0
201907262300;-3;0
201907262315;-3;0
201907262330;-4;0
201907262345;-3;0
201907270000;-3;0
201907270015;-2;0
201907270030;-2;0
201907270045;-2;0
201907270100;-3;0
201907270115;-2;0
201907270130;-3;0
201907270145;-3;0
201907270200;-2;0
201907270215;-3;0
201907270230;-3;0
201907270245;-3;0
201907270300;-3;0
201907270315;-2;0
201907270330;-3;0
201907270345;-2;0
201907270400;-2;0
201907270415;-2;0
201907270430;-2;0
201907270445;-3;0
201907270500;-2;0
201907270515;2;0
201907270530;10;3
201907270545;40;10
201907270600;90;24
201907270615;135;38
201907270630;182;57
201907270645;220;89
201907270700;264;112
201907270715;312;121
201907270730;359;178
201907270745;410;179
201907270800;463;129
201907270815;513;156
201907270830;560;241
201907270845;607;302
201907270900;649;342
201907270915;692;399
201907270930;732;604
201907270945;764;590
201907271000;806;623
201907271015;836;560
201907271030;865;525
201907271045;891;630
201907271100;913;738
201907271115;930;543
201907271130;943;469
201907271145;893;566
201907271200;963;570
201907271215;968;617
201907271230;971;771
201907271245;970;699
201907271300;964;427
201907271315;953;317
201907271330;943;391
201907271345;926;304
201907271400;903;473
201907271415;875;480
201907271430;848;465
201907271445;819;408
201907271500;782;313
201907271515;743;268
201907271530;706;317
201907271545;667;351
201907271600;624;319
201907271615;583;221
201907271630;539;209
201907271645;491;232
201907271700;439;141
201907271715;386;74
201907271730;331;74
201907271745;279;73
201907271800;230;52
201907271815;177;40
201907271830;127;30
201907271845;85;20
201907271900;48;11
201907271915;17;3
201907271930;2;0
201907271945;-4;0
201907272000;-4;0
201907272015;-4;0
201907272030;-3;0
201907272045;-3;0
201907272100;-3;0
201907272115;-3;1
201907272130;-4;1
201907272145;-5;0
201907272200;-4;0
201907272215;-3;0
201907272230;-4;0
201907272245;-4;0
201907272300;-3;0
201907272315;-4;0
201907272330;-4;0
201907272345;-4;0
201907280000;-4;0
201907280015;-4;0
201907280030;-3;0
201907280045;-4;0
201907280100;-4;0
201907280115;-4;0
201907280130;-3;0
201907280145;-3;0
201907280200;-4;0
201907280215;-3;0
201907280230;-3;0
201907280245;-3;0
201907280300;-4;0
201907280315;-3;0
201907280330;-3;0
201907280345;-3;0
201907280400;-3;0
201907280415;-3;0
201907280430;-3;1
201907280445;-3;0
201907280500;-3;0
201907280515;0;1
201907280530;8;3
201907280545;34;10
201907280600;76;22
201907280615;116;39
201907280630;161;51
201907280645;209;86
201907280700;257;96
201907280715;308;112
201907280730;358;173
201907280745;406;167
201907280800;455;139
201907280815;504;167
201907280830;551;278
201907280845;596;294
201907280900;640;326
201907280915;685;392
201907280930;725;550
201907280945;763;599
201907281000;800;610
201907281015;831;554
201907281030;858;525
201907281045;883;665
201907281100;904;764
201907281115;920;515
201907281130;935;475
201907281145;947;573
201907281200;957;527
201907281215;960;612
201907281230;964;772
201907281245;966;720
201907281300;961;445
201907281315;943;327
201907281330;928;395
201907281345;906;286
201907281400;884;485
201907281415;859;470
201907281430;830;460
201907281445;799;386
201907281500;768;329
201907281515;734;269
201907281530;695;311
201907281545;654;324
201907281600;612;312
201907281615;573;226
201907281630;528;205
201907281645;482;228
201907281700;434;132
201907281715;380;85
201907281730;327;76
201907281745;277;67
201907281800;226;52
201907281815;176;40
201907281830;127;28
201907281845;87;20
201907281900;54;11
201907281915;19;3
201907281930;0;0
201907281945;-4;0
201907282000;-5;0
201907282015;-3;0
201907282030;-3;0
201907282045;-1;0
201907282100;-2;0
201907282115;-2;0
201907282130;-3;0
201907282145;-5;0
201907282200;-4;0
201907282215;-5;0
201907282230;-4;0
201907282245;-4;0
201907282300;-4;0
201907282315;-4;0
201907282330;-3;0
201907282345;-4;0
201907290000;-3;0
201907290015;-3;0
201907290030;-4;0
201907290045;-4;0
201907290100;-4;0
201907290115;-3;0
201907290130;-3;0
201907290145;-3;0
201907290200;-2;0
201907290215;-3;0
201907290230;-3;0
201907290245;-3;0
201907290300;-2;0
201907290315;-3;0
201907290330;-2;0
201907290345;-2;0
201907290400;-3;0
201907290415;-3;0
201907290430;-4;0
201907290445;-3;0
201907290500;-2;0
201907290515;1;1
201907290530;8;3
201907290545;34;10
201907290600;73;21
201907290615;113;38
201907290630;156;46
201907290645;203;83
201907290700;255;91
201907290715;305;103
201907290730;359;175
201907290745;411;145
201907290800;460;148
201907290815;509;162
201907290830;558;211
201907290845;605;300
201907290900;652;338
201907290915;696;417
201907290930;737;630
201907290945;775;568
201907291000;807;609
201907291015;837;529
201907291030;868;526
201907291045;892;692
201907291100;912;705
201907291115;927;556
201907291130;943;556
201907291145;955;534
201907291200;964;577
201907291215;969;625
201907291230;968;760
201907291245;968;703
201907291300;961;445
201907291315;948;367
201907291330;934;335
201907291345;918;286
201907291400;898;432
201907291415;875;484
201907291430;850;479
201907291445;819;375
201907291500;790;322
201907291515;757;272
201907291530;722;355
201907291545;682;329
201907291600;639;338
201907291615;593;245
201907291630;547;256
201907291645;500;227
201907291700;450;145
201907291715;398;93
201907291730;345;67
201907291745;294;77
201907291800;242;51
201907291815;189;44
201907291830;138;31
201907291845;93;21
201907291900;55;12
201907291915;18;3
201907291930;2;0
201907291945;-3;0
201907292000;-4;0
201907292015;-4;0
201907292030;-4;0
201907292045;-4;0
201907292100;-4;0
201907292115;-4;0
201907292130;-4;0
201907292145;-5;0
201907292200;-5;0
201907292215;-4;0
201907292230;-4;0
201907292245;-4;0
201907292300;-4;0
201907292315;-4;0
201907292330;-4;0
201907292345;-4;0
201907300000;-4;0
201907300015;-3;0
201907300030;-3;0
201907300045;-5;0
201907300100;-4;0
201907300115;-4;0
201907300130;-4;0
201907300145;-4;0
201907300200;-4;0
201907300215;-3;0
201907300230;-3;0
201907300245;-3;0
201907300300;-3;0
201907300315;-2;0
201907300330;-3;0
201907300345;-3;0
201907300400;-3;0
201907300415;-2;0
201907300430;-3;0
201907300445;-3;0
201907300500;-2;0
201907300515;1;1
201907300530;8;4
201907300545;30;9
201907300600;72;21
201907300615;114;36
201907300630;160;46
201907300645;208;83
201907300700;256;87
201907300715;309;95
201907300730;349;160
201907300745;399;152
201907300800;452;148
201907300815;501;158
201907300830;551;288
201907300845;580;302
201907300900;643;329
201907300915;685;409
201907300930;725;606
201907300945;764;556
201907301000;798;601
201907301015;830;540
201907301030;860;529
201907301045;884;649
201907301100;906;623
201907301115;923;563
201907301130;937;559
201907301145;950;577
201907301200;958;508
201907301215;963;681
201907301230;963;729
201907301245;963;668
201907301300;950;497
201907301315;934;388
201907301330;925;339
201907301345;912;271
201907301400;890;413
201907301415;868;488
201907301430;843;459
201907301445;813;366
201907301500;779;326
201907301515;739;303
201907301530;705;312
201907301545;663;318
201907301600;618;333
201907301615;573;215
201907301630;526;229
201907301645;478;198
201907301700;429;120
201907301715;379;90
201907301730;328;63
201907301745;276;68
201907301800;226;50
201907301815;175;38
201907301830;126;29
201907301845;83;19
201907301900;48;11
201907301915;17;3
201907301930;2;0
201907301945;-3;0
201907302000;-4;0
201907302015;-4;0
201907302030;-3;0
201907302045;-3;0
201907302100;-3;0
201907302115;-3;0
201907302130;-4;0
201907302145;-3;0
201907302200;-3;0
201907302215;-3;0
201907302230;-3;0
201907302245;-2;0
201907302300;-3;0
201907302315;-3;0
201907302330;-3;0
201907302345;-3;0
201907310000;-2;0
201907310015;-3;0
201907310030;-2;0
201907310045;-3;0
201907310100;-3;0
201907310115;-2;0
201907310130;-1;0
201907310145;-2;0
201907310200;-2;0
201907310215;-2;0
201907310230;-2;0
201907310245;-3;0
201907310300;-2;0
201907310315;-2;0
201907310330;-2;0
201907310345;-2;0
201907310400;-2;0
201907310415;-2;0
201907310430;-2;0
201907310445;-2;0
201907310500;-2;0
201907310515;1;1
201907310530;9;3
201907310545;32;9
201907310600;71;20
201907310615;109;34
201907310630;150;46
201907310645;194;77
201907310700;243;95
201907310715;294;91
201907310730;345;157
201907310745;398;130
201907310800;451;120
201907310815;502;167
201907310830;551;250
201907310845;586;298
201907310900;643;321
201907310915;686;382
201907310930;725;608
201907310945;763;541
201907311000;796;574
201907311015;829;561
201907311030;858;534
201907311045;884;631
201907311100;905;539
201907311115;917;514
201907311130;938;501
201907311145;950;583
201907311200;960;527
201907311215;964;667
201907311230;964;717
201907311245;960;655
201907311300;955;495
201907311315;945;365
201907311330;932;367
201907311345;911;282
201907311400;889;416
201907311415;866;456
201907311430;837;448
201907311445;807;358
201907311500;774;327
201907311515;736;315
201907311530;701;317
201907311545;660;324
201907311600;618;341
201907311615;574;220
201907311630;527;226
201907311645;478;188
201907311700;427;105
201907311715;376;81
201907311730;323;64
201907311745;270;63
201907311800;220;50
201907311815;171;37
201907311830;124;28
201907311845;82;19
201907311900;47;10
201907311915;16;3
201907311930;2;0
201907311945;-2;0
201907312000;-4;0
201907312015;-4;0
201907312030;-4;0
201907312045;-4;0
201907312100;-4;0
201907312115;-3;0
201907312130;-4;0
201907312145;-4;0
201907312200;-4;0
201907312215;-2;0
201907312230;-3;0
201907312245;-3;0
201907312300;-2;0
201907312315;-2;0
201907312330;-3;0
201907312345;-2;0
201908010000;-3;0
201908010015;-3;0
201908010030;-3;0
201908010045;-3;0
201908010100;-2;0
201908010115;-3;0
201908010130;-2;0
201908010145;-3;0
201908010200;-2;0
201908010215;-3;0
201908010230;-3;0
201908010245;-2;0
201908010300;-2;0
201908010315;-3;0
201908010330;-2;0
201908010345;-2;0
201908010400;-2;0
201908010415;-2;0
201908010430;-2;0
201908010445;-2;0
201908010500;-2;0
201908010515;1;1
201908010530;8;4
201908010545;28;9
201908010600;67;18
201908010615;107;32
201908010630;153;40
201908010645;202;67
201908010700;241;101
201908010715;284;86
201908010730;338;152
201908010745;391;120
201908010800;443;124
201908010815;491;179

