TIMESTAMP;SW_IN;SW_BELOW
201906251030;912;279
201906251045;837;300
201906251100;801;269
201906251115;984;511
201906251130;997;645
201906251145;992;662
201906251200;1002;742
201906251215;1005;631
201906251230;887;430
201906251245;1007;421
201906251300;1003;541
201906251315;1006;579
201906251330;995;624
201906251345;955;508
201906251400;936;492
201906251415;913;612
201906251430;888;532
201906251445;858;524
201906251500;826;462
201906251515;791;335
201906251530;755;288
201906251545;716;205
201906251600;673;129
201906251615;628;153
201906251630;580;168
201906251645;531;157
201906251700;482;167
201906251715;432;123
201906251730;381;92
201906251745;330;57
201906251800;279;48
201906251815;231;39
201906251830;185;32
201906251845;140;25
201906251900;94;16
201906251915;57;9
201906251930;18;3
201906251945;1;0
201906252000;-3;0
201906252015;-4;0
201906252030;-4;0
201906252045;-4;0
201906252100;-4;0
201906252115;-4;0
201906252130;-4;0
201906252145;-4;0
201906252200;-4;0
201906252215;-4;0
201906252230;-4;0
201906252245;-4;0
201906252300;-4;0
201906252315;-4;0
201906252330;-4;0
201906252345;-4;0
201906260000;-4;0
201906260015;-4;0
201906260030;-3;0
201906260045;-3;0
201906260100;-3;0
201906260115;-3;0
201906260130;-3;0
201906260145;-3;0
201906260200;-2;0
201906260215;-3;0
201906260230;-3;0
201906260245;-4;0
201906260300;-3;0
201906260315;-3;0
201906260330;-3;0
201906260345;-3;0
201906260400;-3;0
201906260415;-4;0
201906260430;-3;0
201906260445;-2;0
201906260500;2;2
201906260515;10;4
201906260530;50;9
201906260545;90;17
201906260600;129;29
201906260615;172;38
201906260630;219;56
201906260645;268;88
201906260700;318;56
201906260715;368;110
201906260730;419;70
201906260745;469;77
201906260800;530;142
201906260815;591;198
201906260830;618;310
201906260845;675;276
201906260900;736;178
201906260915;790;204
201906260930;883;280
201906260945;845;216
201906261000;688;227
201906261015;930;327
201906261030;935;406
201906261045;959;421
201906261100;1002;519
201906261115;1029;558
201906261130;1002;675
201906261145;1008;687
201906261200;1025;772
201906261215;960;509
201906261230;854;433
201906261245;973;411
201906261300;926;500
201906261315;821;459
201906261330;983;658
201906261345;958;552
201906261400;962;461
201906261415;920;613
201906261430;893;587
201906261445;861;560
201906261500;828;437
201906261515;790;328
201906261530;753;310
201906261545;712;252
201906261600;670;226
201906261615;625;187
201906261630;579;159
201906261645;530;144
201906261700;481;179
201906261715;428;123
201906261730;376;86
201906261745;326;59
201906261800;275;47
201906261815;227;39
201906261830;177;31
201906261845;129;22
201906261900;95;16
201906261915;56;9
201906261930;16;3
201906261945;1;0
201906262000;-3;0
201906262015;-4;0
201906262030;-4;0
201906262045;-3;0
201906262100;-4;0
201906262115;-4;0
201906262130;-4;0
201906262145;-4;0
201906262200;-4;0
201906262215;-4;0
201906262230;-4;0
201906262245;-4;0
201906262300;-4;0
201906262315;-4;0
201906262330;-3;0
201906262345;-4;0
201906270000;-3;0
201906270015;-4;0
201906270030;-3;0
201906270045;-3;0
201906270100;-3;0
201906270115;-3;0
201906270130;-4;0
201906270145;-4;0
201906270200;-3;0
201906270215;-3;0
201906270230;-4;0
201906270245;-4;0
201906270300;-4;0
201906270315;-4;0
201906270330;-3;0
201906270345;-4;0
201906270400;-4;0
201906270415;-4;0
201906270430;-3;0
201906270445;-2;0
201906270500;3;1
201906270515;11;3
201906270530;50;9
201906270545;89;18
201906270600;128;31
201906270615;172;43
201906270630;220;54
201906270645;271;81
201906270700;322;58
201906270715;372;107
201906270730;422;70
201906270745;472;77
201906270800;508;133
201906270815;516;186
201906270830;630;291
201906270845;661;284
201906270900;704;211
201906270915;745;216
201906270930;793;211
201906270945;835;177
201906271000;868;267
201906271015;888;364
201906271030;909;426
201906271045;928;368
201906271100;948;446
201906271115;979;515
201906271130;983;628
201906271145;971;645
201906271200;987;703
201906271215;867;466
201906271230;1036;524
201906271245;1024;442
201906271300;1018;548
201906271315;981;611
201906271330;968;648
201906271345;966;542
201906271400;906;386
201906271415;882;556
201906271430;739;444
201906271445;848;575
201906271500;780;447
201906271515;575;210
201906271530;474;187
201906271545;434;171
201906271600;513;196
201906271615;397;154
201906271630;406;155
201906271645;528;155
201906271700;318;116
201906271715;365;120
201906271730;315;92
201906271745;177;62
201906271800;197;63
201906271815;156;54
201906271830;117;38
201906271845;70;20
201906271900;52;19
201906271915;27;9
201906271930;16;4
201906271945;4;1
201906272000;-1;0
201906272015;-3;0
201906272030;-4;0
201906272045;-3;0
201906272100;-3;0
201906272115;-3;0
201906272130;-3;0
201906272145;-3;0
201906272200;-3;0
201906272215;-3;0
201906272230;-2;0
201906272245;-2;0
201906272300;-2;0
201906272315;-2;0
201906272330;-2;0
201906272345;-2;0
201906280000;-2;0
201906280015;-3;0
201906280030;-3;0
201906280045;-3;0
201906280100;-3;0
201906280115;-2;0
201906280130;-2;0
201906280145;-3;0
201906280200;-3;0
201906280215;-4;0
201906280230;-4;0
201906280245;-4;0
201906280300;-3;0
201906280315;-3;0
201906280330;-3;0
201906280345;-3;0
201906280400;-3;0
201906280415;-3;0
201906280430;-3;0
201906280445;-3;0
201906280500;1;1
201906280515;8;3
201906280530;48;9
201906280545;89;18
201906280600;113;27
201906280615;161;41
201906280630;190;45
201906280645;245;70
201906280700;310;55
201907241315;976;448
201907241330;960;454
201907241345;932;312
201907241400;920;581
201907241415;897;633
201907241430;869;543
201907241445;840;427
201907241500;808;393
201907241515;775;252
201907241530;737;336
201907241545;693;359
201907241600;650;403
201907241615;602;261
201907241630;554;164
201907241645;505;215
201907241700;454;99
201907241715;401;76
201907241730;351;70
201907241745;301;59
201907241800;251;48
201907241815;199;41
201907241830;150;30
201907241845;105;21
201907241900;67;12
201907241915;26;3
201907241930;2;0
201907241945;-4;0
201907242000;-5;0
201907242015;-4;0
201907242030;-4;0
201907242045;-6;0
201907242100;-4;0
201907242115;-4;0
201907242130;-3;0
201907242145;-4;0
201907242200;-3;0
201907242215;-4;0
201907242230;-4;0
201907242245;-3;0
201907242300;-2;0
201907242315;-3;0
201907242330;-2;0
201907242345;-3;0
201907250000;-3;0
201907250015;-3;0
201907250030;-3;0
201907250045;-3;0
201907250100;-3;0
201907250115;-2;0
201907250130;-2;0
201907250145;-2;0
201907250200;-2;0
201907250215;-2;0
201907250230;-2;0
201907250245;-2;0
201907250300;-2;0
201907250315;-2;0
201907250330;-2;0
201907250345;-3;0
201907250400;-2;0
201907250415;-3;0
201907250430;-2;0
201907250445;-2;0
201907250500;-1;0
201907250515;7;3
201907250530;19;8
201907250545;40;13
201907250600;81;29
201907250615;116;37
201907250630;173;59
201907250645;184;83
201907250700;216;92
201907250715;146;63
201907250730;267;117
201907250745;311;127
201907250800;424;140
201907250815;419;172
201907250830;444;209
201907250845;679;367
201907250900;524;290
201907250915;670;388
201907250930;770;527
201907250945;613;443
201907251000;816;593
201907251015;626;366
201907251030;774;548
201907251045;899;556
201907251100;882;688
201907251115;900;562
201907251130;795;403
201907251145;1054;616
201907251200;841;510
201907251215;1000;638
201907251230;978;657
201907251245;953;577
201907251300;740;370
201907251315;601;251
201907251330;872;427
201907251345;866;329
201907251400;768;409
201907251415;813;460
201907251430;540;302
201907251445;674;357
201907251500;886;383
201907251515;472;189
201907251530;326;157
201907251545;424;211
201907251600;499;267
201907251615;246;117
201907251630;202;96
201907251645;137;62
201907251700;114;50
201907251715;122;49
201907251730;257;73
201907251745;143;41
201907251800;64;22
201907251815;127;34
201907251830;57;18
201907251845;76;22
201907251900;64;16
201907251915;20;5
201907251930;3;1
201907251945;-3;0
201907252000;-4;0
201907252015;-5;0
201907252030;-4;0
201907252045;-4;0
201907252100;-4;0
201907252115;-4;0
201907252130;-3;0
201907252145;-4;0
201907252200;-3;0
201907252215;-3;0
201907252230;-3;0
201907252245;-3;0
201907252300;-4;0
201907252315;-4;0
201907252330;-3;0
201907252345;-4;0
201907260000;-3;0
201907260015;-3;0
201907260030;-3;0
201907260045;-4;0
201907260100;-3;0
201907260115;-3;0
201907260130;-3;0
201907260145;-3;0
201907260200;-3;0
201907260215;-3;0
201907260230;-3;0
201907260245;-3;0
201907260300;-3;0
201907260315;-3;0
201907260330;-2;0
201907260345;-3;0
201907260400;-2;0
201907260415;-3;0
201907260430;-2;0
201907260445;-2;0
201907260500;-2;0
201907260515;1;1
201907260530;14;7
201907260545;54;20
201907260600;101;42
201907260615;107;46
201907260630;105;45
201907260645;156;69
201907260700;162;68
201907260715;290;106
201907260730;249;117
201907260745;396;174
201907260800;454;160
201907260815;478;192
201907260830;550;242
201907260845;621;321
201907260900;659;367
201907260915;700;452
201907260930;740;590
201907260945;778;595
201907261000;782;620
