TIMESTAMP;SW_BELOW;SW_IN
201406281630;331;555
201406281645;225;508
201406281700;199;458
201406281715;147;408
201406281730;130;357
201406281745;106;306
201406281800;79;255
201406281815;57;205
201406281830;46;157
201406281845;24;112
201406281900;15;70
201406281915;11;36
201406281930;8;9
201406281945;0;0
201406282000;0;0
201406282015;0;0
201406282030;0;0
201406282045;0;0
201406282100;0;0
201406282115;0;0
201406282130;0;0
201406282145;0;0
201406282200;0;0
201406282215;0;0
201406282230;0;0
201406282245;0;0
201406282300;0;0
201406282315;0;0
201406282330;0;0
201406282345;0;0
201406290000;0;0
201406290015;0;0
201406290030;0;0
201406290045;0;0
201406290100;0;0
201406290115;0;0
201406290130;0;0
201406290145;0;0
201406290200;0;0
201406290215;0;0
201406290230;0;0
201406290245;0;0
201406290300;0;0
201406290315;0;0
201406290330;0;0
201406290345;0;0
201406290400;0;0
201406290415;0;0
201406290430;0;0
201406290445;0;0
201406290500;0;0
201406290515;0;0
201406290530;0;0
201406290545;0;0
201406290600;0;0
201406290615;0;0
201406290630;0;0
201406290645;0;0
201406290700;0;0
201406290715;0;0
201406290730;0;0
201406290745;0;0
201406290800;0;0
201406290815;0;0
201406290830;0;0
201406290845;0;0
201406290900;0;0
201406290915;0;0
201406290930;0;0
201406290945;0;0
201406291000;0;0
201406291015;0;0
201406291030;0;0
201406291045;0;0
201406291100;0;0
201406291115;0;0
201406291130;0;0
201406291145;0;0
201406291200;0;0
201406291215;0;0
201406291230;0;0
201406291245;0;0
201406291300;0;0
201406291315;0;0
201406291330;0;0
201406291345;0;0
201406291400;0;0
201406291415;0;0
201406291430;0;0
201406291445;0;0
201406291500;0;0
201406291515;0;0
201406291530;0;0
201406291545;0;0
201406291600;0;0
201406291615;0;0
201406291630;0;0
201406291645;0;0
201406291700;0;0
201406291715;0;0
201406291730;0;0
201406291745;0;0
201406291800;0;0
201406291815;0;0
201406291830;0;0
201406291845;0;0
201406291900;0;0
201406291915;0;0
201406291930;0;0
201406291945;0;0
201406292000;0;0
201406292015;0;0
201406292030;0;0
201406292045;0;0
201406292100;0;0
