TIMESTAMP;SW_IN;SW_BELOW
201907241645;510;248
201907241700;459;265
201907241715;406;198
201907241730;354;153
201907241745;304;133
201907241800;254;102
201907241815;206;64
201907241830;159;47
201907241845;115;29
201907241900;31;8
201907241915;12;1
201907241930;5;0
201907241945;-2;0
201907242000;-4;0
201907242015;-3;0
201907242030;-3;0
201907242045;-3;0
201907242100;-4;0
201907242115;-3;0
201907242130;-3;0
201907242145;-3;0
201907242200;-3;0
201907242215;-3;0
201907242230;-3;0
201907242245;-3;0
201907242300;-2;0
201907242315;-3;0
201907242330;-2;0
201907242345;-3;0
201907250000;-3;0
201907250015;-2;0
201907250030;-2;0
201907250045;-2;0
201907250100;-2;0
201907250115;-2;0
201907250130;-2;0
201907250145;-2;0
201907250200;-2;0
201907250215;-2;0
201907250230;-3;0
201907250245;-2;0
201907250300;-2;0
201907250315;-2;0
201907250330;-2;0
201907250345;-2;0
201907250400;-2;0
201907250415;-2;0
201907250430;-2;0
201907250445;-2;0
201907250500;0;0
201907250515;8;3
201907250530;20;8
201907250545;49;13
201907250600;90;21
201907250615;123;30
201907250630;176;43
201907250645;185;50
201907250700;220;84
201907250715;149;74
201907250730;279;114
201907250745;317;167
201907250800;434;158
201907250815;425;173
201907250830;483;199
201907250845;700;370
201907250900;550;277
201907250915;699;468
201907250930;796;565
201907250945;637;341
201907251000;828;448
201907251015;653;406
201907251030;887;454
201907251045;930;487
201907251100;966;622
201907251115;880;593
201907251130;763;564
201907251145;1113;905
201907251200;804;609
201907251215;1050;754
201907251230;1027;665
201907251245;970;668
201907251300;740;439
201907251315;616;331
201907251330;937;465
201907251345;902;431
201907251400;803;398
201907251415;814;442
201907251430;534;262
201907251445;699;340
201907251500;879;437
201907251515;494;224
201907251530;321;154
201907251545;394;176
201907251600;477;208
201907251615;252;125
201907251630;207;104
201907251645;146;69
201907251700;121;56
201907251715;140;65
201907251730;292;123
201907251745;140;66
201907251800;61;25
201907251815;131;45
201907251830;56;23
201907251845;84;28
201907251900;36;15
201907251915;13;5
201907251930;3;1
201907251945;-1;0
201907252000;-4;0
201907252015;-4;0
201907252030;-4;0
201907252045;-3;0
201907252100;-3;0
201907252115;-3;0
201907252130;-3;0
201907252145;-3;0
201907252200;-3;0
201907252215;-2;0
201907252230;-3;0
201907252245;-3;0
201907252300;-3;0
201907252315;-3;0
201907252330;-2;0
201907252345;-2;0
201907260000;-3;0
201907260015;-3;0
201907260030;-3;0
201907260045;-3;0
201907260100;-3;0
201907260115;-3;0
201907260130;-2;0
201907260145;-2;0
201907260200;-1;0
201907260215;-2;0
201907260230;-2;0
201907260245;-2;0
201907260300;-2;0
201907260315;-2;0
201907260330;-2;0
201907260345;-2;0
201907260400;-2;0
201907260415;-1;0
201907260430;-2;0
201907260445;-1;0
201907260500;-1;0
201907260515;3;1
201907260530;17;6
201907260545;75;20
201907260600;128;35
201907260615;111;40
201907260630;107;42
201907260645;138;49
201907260700;182;63
201907260715;263;112
201907260730;229;97
201907260745;403;212
201907260800;468;195
201907260815;445;177
201907260830;582;251
201907260845;624;353
201907260900;669;354
201907260915;716;453
201907260930;760;516
201907260945;801;417
201907261000;839;440
201907261015;874;435
201907261030;906;494
201907261045;935;480
201907261100;960;592
201907261115;983;673
201907261130;1000;770
201907261145;1012;845
201907261200;1032;793
201907261215;954;662
201907261230;918;632
201907261245;901;613
201907261300;997;568
201907261315;1001;504
201907261330;976;435
201907261345;989;499
201907261400;964;456
201907261415;937;577
201907261430;909;317
201907261445;873;346
201907261500;832;441
201907261515;791;293
201907261530;746;433
201907261545;701;282
201907261600;653;220
201907261615;604;285
201907261630;552;335
201907261645;501;247
201907261700;448;237
201907261715;396;186
201907261730;342;144
201907261745;291;115
201907261800;241;104
201907261815;194;55
201907261830;149;48
201907261845;107;30
201907261900;31;9
201907261915;14;3
201907261930;5;0
201907261945;-2;0
201907262000;-3;0
201907262015;-3;0
201907262030;-4;0
201907262045;-3;0
201907262100;-3;0
201907262115;-3;0
201907262130;-3;0
201907262145;-3;0
201907262200;-2;0
201907262215;-3;0
201907262230;-3;0
201907262245;-3;0
201907262300;-2;0
201907262315;-2;0
201907262330;-2;0
201907262345;-2;0
201907270000;-2;0
201907270015;-1;0
201907270030;-2;0
201907270045;-2;0
201907270100;-2;0
201907270115;-2;0
201907270130;-1;0
201907270145;-2;0
201907270200;-2;0
201907270215;-1;0
201907270230;-2;0
201907270245;-2;0
201907270300;-2;0
201907270315;-1;0
201907270330;-2;0
201907270345;-2;0
201907270400;-1;0
201907270415;-1;0
201907270430;-2;0
201907270445;-2;0
201907270500;-1;0
201907270515;3;1
201907270530;11;3
201907270545;58;10
201907270600;107;19
201907270615;148;28
201907270630;188;37
201907270645;229;56
201907270700;269;87
201907270715;309;126
201907270730;365;116
201907270745;419;221
201907270800;470;180
201907270815;519;164
201907270830;569;255
201907270845;619;343
201907270900;667;346
201907270915;714;443
201907270930;757;557
201907270945;797;421
201907271000;835;429
201907271015;870;518
201907271030;902;484
201907271045;931;449
201907271100;956;595
201907271115;976;613
201907271130;991;689
201907271145;1007;792
201907271200;1016;765
201907271215;1022;733
201907271230;1025;742
201907271245;1025;703
201907271300;1015;669
201907271315;1002;535
201907271330;988;454
201907271345;969;505
201907271400;943;455
201907271415;914;630
201907271430;885;282
201907271445;851;357
201907271500;813;434
201907271515;770;276
201907271530;730;417
201907271545;686;277
201907271600;641;202
201907271615;594;300
201907271630;547;328
201907271645;496;239
201907271700;442;216
201907271715;388;179
201907271730;333;131
201907271745;280;106
201907271800;231;100
201907271815;182;52
201907271830;138;47
201907271845;96;25
201907271900;29;9
201907271915;12;2
201907271930;3;0
201907271945;-1;0
201907272000;-4;0
201907272015;-4;0
201907272030;-4;1
201907272045;-4;1
201907272100;-4;1
201907272115;-4;0
201907272130;-4;0
201907272145;-4;0
201907272200;-3;0
201907272215;-3;0
201907272230;-4;0
201907272245;-3;0
201907272300;-3;0
201907272315;-3;0
201907272330;-3;0
201907272345;-4;0
201907280000;-3;0
201907280015;-3;0
201907280030;-3;0
201907280045;-3;0
201907280100;-3;0
201907280115;-3;0
201907280130;-3;0
201907280145;-3;0
201907280200;-3;0
201907280215;-3;0
201907280230;-3;0
201907280245;-3;0
201907280300;-3;0
201907280315;-3;0
201907280330;-3;0
201907280345;-3;0
201907280400;-3;0
201907280415;-3;0
201907280430;-3;0
201907280445;-3;0
201907280500;-2;0
201907280515;1;1
201907280530;9;3
201907280545;46;10
201907280600;86;19
201907280615;125;29
201907280630;166;38
201907280645;210;57
201907280700;256;91
201907280715;305;130
201907280730;356;122
201907280745;406;219
201907280800;456;202
201907280815;508;201
201907280830;558;228
201907280845;607;291
201907280900;656;352
201907280915;703;434
201907280930;749;495
201907280945;790;390
201907281000;831;415
201907281015;867;463
201907281030;898;544
201907281045;925;461
201907281100;951;568
201907281115;972;591
201907281130;987;744
201907281145;1001;769
201907281200;1013;776
201907281215;1018;736
201907281230;1016;732
201907281245;1018;684
201907281300;1010;650
201907281315;994;554
201907281330;976;460
201907281345;951;514
201907281400;924;474
201907281415;895;608
201907281430;863;326
201907281445;829;380
201907281500;796;436
201907281515;757;285
201907281530;713;390
201907281545;668;288
201907281600;625;202
201907281615;583;285
201907281630;535;318
201907281645;485;236
201907281700;435;208
201907281715;379;172
201907281730;328;131
201907281745;279;108
201907281800;231;94
201907281815;183;51
201907281830;140;45
201907281845;99;25
201907281900;23;7
201907281915;11;1
201907281930;2;0
201907281945;-2;0
201907282000;-3;0
201907282015;-3;0
201907282030;-3;0
201907282045;-3;0
201907282100;-3;0
201907282115;-3;0
201907282130;-4;0
201907282145;-4;0
201907282200;-3;0
201907282215;-4;0
201907282230;-4;0
201907282245;-4;0
201907282300;-4;0
201907282315;-3;0
201907282330;-3;0
201907282345;-3;0
201907290000;-3;0
201907290015;-3;0
201907290030;-3;0
201907290045;-3;0
201907290100;-3;0
201907290115;-2;0
201907290130;-3;0
201907290145;-2;0
201907290200;-2;0
201907290215;-2;0
201907290230;-2;0
201907290245;-2;0
201907290300;-2;0
201907290315;-2;0
201907290330;-2;0
201907290345;-2;0
201907290400;-2;0
201907290415;-2;0
201907290430;-2;0
201907290445;-2;0
201907290500;-1;0
201907290515;3;1
201907290530;10;4
201907290545;44;10
201907290600;91;18
201907290615;134;29
201907290630;173;37
201907290645;213;53
201907290700;256;93
201907290715;306;121
201907290730;359;119
201907290745;411;185
201907290800;463;161
201907290815;516;164
201907290830;567;254
201907290845;617;304
201907290900;667;338
201907290915;713;480
201907290930;758;529
201907290945;799;420
201907291000;836;444
201907291015;873;399
201907291030;904;494
201907291045;933;515
201907291100;955;570
201907291115;975;682
201907291130;995;674
201907291145;1005;759
201907291200;1016;862
201907291215;1021;786
201907291230;1022;754
201907291245;1018;669
201907291300;1010;583
201907291315;995;524
201907291330;979;413
201907291345;960;514
201907291400;936;488
201907291415;911;551
201907291430;880;368
201907291445;849;380
201907291500;817;417
201907291515;780;268
201907291530;739;363
201907291545;698;284
201907291600;652;267
201907291615;602;313
201907291630;552;328
201907291645;501;241
201907291700;449;225
201907291715;396;173
201907291730;343;158
201907291745;292;119
201907291800;241;85
201907291815;193;56
201907291830;148;47
201907291845;95;26
201907291900;19;9
201907291915;11;3
201907291930;3;0
201907291945;-2;0
201907292000;-3;0
201907292015;-4;0
201907292030;-3;0
201907292045;-3;0
201907292100;-3;0
201907292115;-3;0
201907292130;-3;0
201907292145;-3;0
201907292200;-3;0
201907292215;-3;0
201907292230;-3;0
201907292245;-3;0
201907292300;-3;0
201907292315;-3;0
201907292330;-3;0
201907292345;-3;0
201907300000;-3;0
201907300015;-3;0
201907300030;-3;0
201907300045;-4;0
201907300100;-3;0
201907300115;-3;0
201907300130;-2;0
201907300145;-2;0
201907300200;-2;0
201907300215;-2;0
201907300230;-2;0
201907300245;-2;0
201907300300;-2;0
201907300315;-2;0
201907300330;-2;0
201907300345;-2;0
201907300400;-2;0
201907300415;-1;0
201907300430;-2;0
201907300445;-2;0
201907300500;-1;0
201907300515;2;1
201907300530;10;3
201907300545;39;9
201907300600;86;18
201907300615;132;28
201907300630;176;39
201907300645;217;55
201907300700;253;83
201907300715;299;109
201907300730;353;137
201907300745;405;182
201907300800;457;161
201907300815;510;194
201907300830;561;278
201907300845;609;313
201907300900;657;352
201907300915;703;514
201907300930;748;520
201907300945;788;367
201907301000;826;482
201907301015;860;472
201907301030;893;481
201907301045;919;488
201907301100;944;552
201907301115;963;611
201907301130;981;721
201907301145;995;723
201907301200;1004;855
201907301215;1011;787
201907301230;1012;752
201907301245;1011;683
201907301300;1003;647
201907301315;990;573
201907301330;971;450
201907301345;954;508
201907301400;927;495
201907301415;900;627
201907301430;873;370
201907301445;839;358
201907301500;802;437
201907301515;763;267
201907301530;721;321
201907301545;676;274
201907301600;629;242
201907301615;582;249
201907301630;531;315
201907301645;481;240
201907301700;430;182
201907301715;377;171
201907301730;326;129
201907301745;275;125
201907301800;226;94
201907301815;179;60
201907301830;135;40
201907301845;82;24
201907301900;23;8
201907301915;12;2
201907301930;3;0
201907301945;-2;0
201907302000;-3;0
201907302015;-3;0
201907302030;-3;0
201907302045;-2;0
201907302100;-2;0
201907302115;-3;0
201907302130;-3;0
201907302145;-3;0
201907302200;-2;0
201907302215;-3;0
201907302230;-3;0
201907302245;-3;0
201907302300;-2;0
201907302315;-2;0
201907302330;-2;0
201907302345;-2;0
201907310000;-2;0
201907310015;-2;0
201907310030;-2;0
201907310045;-2;0
201907310100;-2;0
201907310115;-2;0
201907310130;-2;0
201907310145;-2;0
201907310200;-2;0
201907310215;-2;0
201907310230;-2;0
201907310245;-2;0
201907310300;-2;0
201907310315;-1;0
201907310330;-2;0
201907310345;-1;0
201907310400;-2;0
201907310415;-1;0
201907310430;-2;0
201907310445;-2;0
201907310500;-1;0
201907310515;2;0
201907310530;11;3
201907310545;41;10
201907310600;87;18
201907310615;125;28
201907310630;158;41
201907310645;198;55
201907310700;247;81
201907310715;296;104
201907310730;347;121
201907310745;400;172
201907310800;454;178
201907310815;506;192
201907310830;557;232
201907310845;607;263
201907310900;656;283
201907310915;702;466
201907310930;744;525
201907310945;786;430
201907311000;823;427
201907311015;858;416
201907311030;890;497
201907311045;920;592
201907311100;946;569
201907311115;966;707
201907311130;985;821
201907311145;999;830
201907311200;1005;765
201907311215;1013;788
201907311230;1011;753
201907311245;1007;672
201907311300;1000;653
201907311315;988;549
201907311330;972;445
201907311345;951;535
201907311400;927;505
201907311415;900;619
201907311430;868;398
201907311445;833;382
201907311500;797;413
201907311515;758;282
201907311530;716;258
201907311545;673;194
201907311600;627;273
201907311615;580;262
201907311630;531;304
201907311645;479;238
201907311700;426;177
201907311715;373;175
201907311730;320;127
201907311745;269;124
201907311800;221;94
201907311815;175;64
201907311830;132;40
201907311845;79;24
201907311900;23;8
201907311915;13;3
201907311930;3;0
201907311945;-2;0
201907312000;-3;0
201907312015;-3;0
201907312030;-3;0
201907312045;-3;0
201907312100;-3;0
201907312115;-3;0
201907312130;-2;0
201907312145;-3;0
201907312200;-3;0
201907312215;-2;0
201907312230;-3;0
201907312245;-2;0
201907312300;-2;0
201907312315;-2;0
201907312330;-2;0
201907312345;-2;0
201908010000;-3;0
201908010015;-3;0
201908010030;-3;0
201908010045;-3;0
201908010100;-3;0
201908010115;-2;0
201908010130;-2;0
201908010145;-2;0
201908010200;-2;0
201908010215;-2;0
201908010230;-2;0
201908010245;-2;0
201908010300;-1;0
201908010315;-1;0
201908010330;-1;0
201908010345;-1;0
201908010400;-2;0
201908010415;-2;0
201908010430;-2;0
201908010445;-1;0
