TIMESTAMP,RECORD,Site,batt_volt,FC_mass,FC_QC,FC_samples,LE,ET,LE_QC,LE_samples,H,H_QC,H_samples,H_FW,H_FW_samples,G,G_1_1_1,G_2_1_1,SG_1_1_1,SG_2_1_1,energy_closure,poor_energy_closure_flg,Bowen_ratio,TAU,TAU_QC,USTAR,TSTAR,TKE,TA_1_1_1,RH_1_1_1,T_DP_1_1_1,amb_e,amb_e_sat,TA_2_1_1,RH_2_1_1,T_DP_2_1_1,e,e_sat,TA_3_1_1,RH_3_1_1,T_DP_3_1_1,e_probe,e_sat_probe,H2O_probe,PA,VPD,P_Tot,Ux,Ux_SIGMA,Uy,Uy_SIGMA,Uz,Uz_SIGMA,T_SONIC,T_SONIC_SIGMA,sonic_azimuth,WS,WS_RSLT,WD_SONIC,WD_SIGMA,WD,WS_MAX,CO2_density,CO2_density_SIGMA,H2O_density,H2O_density_SIGMA,CO2_sig_strgth_Min,H2O_sig_strgth_Min,FW,FW_SIGMA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,sun_azimuth,sun_elevation,hour_angle,sun_declination,air_mass_coeff,daytime,T_CANOPY,T_SI111_body,TS_1,TS_2,SoilWater_1,SoilWater_2,hydra1_temp,hydra2_temp,shf_plate_Avg(1),shf_plate_Avg(2),Duty_cycle_TS100_Fan_Avg,Freq_tach_TS100_Avg,FETCH_MAX,FETCH_90,FETCH_55,FETCH_40,UPWND_DIST_INTRST,FP_DIST_INTRST,FP_EQUATION
TS,RN,,V,mg m-2 s-1,Grade,samples,W m-2,mm hour-1,Grade,samples,W m-2,grade,samples,W m-2,samples,,W m-2,W m-2,W m-2,W m-2,fraction,,fraction,kg m-1 s-2,grade,m s-1,deg C,m2 s-2,deg C,%,deg C,kPa,kPa,deg C,%,deg C,kPa,kPa,deg C,%,deg C,kPa,kPa,g/m^3,kPa,hPa,mm,m s-1,m s-1,m s-1,m s-1,m s-1,m s-1,deg C,deg C,Decimal degrees,m s-1,m s-1,decimal degrees,decimal degrees,decimal degrees,m s-1,mg m-3,mg m-3,g m-3,g m-3,fraction,fraction,deg C,deg C,W m-2,W m-2,W m-2,W m-2,W m-2,decimal degrees,decimal degrees,decimal degrees,decimal degrees,adimensional,fraction,deg C,deg C,deg C,deg C,%,%,deg C,deg C,W m-2,W m-2,,Hz,m,m,m,m,m,%,authors
,,Smp,Avg,Smp,Smp,Tot,Smp,Smp,Smp,Tot,Smp,Smp,Tot,Smp,Tot,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Tot,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Min,Min,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Tot,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Smp,Smp,Smp,Smp
4/16/24 4:00,515,WES,12.64923,0.004093233,9,36000,-0.4605841,-0.00067159,9,36000,-1.790681,9,36000,NAN,0,-38.69879,-52.14577,-25.25181,-19.49573,-13.98998,-0.3477923,0,3.887847,0.002982913,9,0.04928503,0.02932709,0.03115166,8.687787,72.29449,3.985917,0.816014,1.128751,13.5645,53.20689,4.230076,0.8301349,1.560397,8.53602,97.85168,8.216003,1.093213,1.117209,8.409524,101.3641,7.302619,0,0.2282888,0.1764059,0.8031083,0.1654523,-0.005417855,0.06172361,14.31375,0.2011566,0,0.8493229,0.8349286,74.13191,10.54494,285.8681,1.520117,922.1511,16.18036,6.273804,0.02239784,0.8844675,0.8502409,NAN,NAN,-32.22578,-0.6052222,0.1071111,321.5493,353.0628,58.87083,-19.65487,-124.9542,10.39522,NAN,0,7.335845,8.310325,10.95287,16.01103,27.05889,37.41,11.25,15.63111,-32.65,-11.26,0.5,1964,137.2023,6961.641,691.7794,403.4977,666.6667,54.04749,KormannMeixner
4/16/24 4:30,516,WES,12.63131,0.227477,9,36000,-3.102941,-0.004523959,9,36000,-9.760158,9,36000,NAN,0,-42.56203,-56.07069,-29.05338,-22.7795,-17.28346,-0.9644725,0,3.145454,0.009751235,9,0.08909741,0.08840242,0.1071101,8.526587,72.17049,3.806335,0.8057864,1.11654,13.44367,52.96415,4.052277,0.8198553,1.548326,8.387821,98.12024,8.108465,1.085291,1.106069,8.352949,101.3452,7.284706,0,-0.1851757,0.4035199,0.8637125,0.2066917,0.007273914,0.09311479,14.18341,0.3168335,0,0.9635879,0.8833416,102.1007,23.375,257.8993,2.196371,910.8979,13.83569,6.198693,0.05102226,0.883822,0.8495991,NAN,NAN,-29.22511,-0.5554444,0.1096667,323.9784,352.5384,64.31435,-14.41398,-117.4525,10.4023,NAN,0,7.285717,8.135403,10.72895,15.86622,27.14667,37.48,11.10111,15.47111,-33.29,-11.77,0.5,1962,50.41334,2031.903,231.989,139.109,666.6667,77.58755,KormannMeixner
4/16/24 5:00,517,WES,12.62558,-0.1162434,8,36000,25.81567,0.03763546,8,36000,-1.722787,9,36000,NAN,0,-39.26462,-53.92054,-24.6087,-20.22417,-12.39724,1.834847,0,-0.06673416,0.009732514,7,0.08898881,0.01561784,0.06088123,8.498238,69.63029,3.262594,0.7759872,1.114465,13.3681,51.24327,3.505131,0.789408,1.540782,8.263021,97.69884,7.920753,1.071584,1.0968,8.251055,101.3593,7.513736,0,0.5005608,0.2694113,0.8640055,0.2057159,-0.04087759,0.08283102,14.08003,0.3563187,0,1.037214,0.998532,59.91423,15.64248,300.0858,1.843206,911.2359,12.90071,5.970012,0.2394945,0.8776001,0.8479659,NAN,NAN,-26.13389,-0.5672222,0.09655555,325.8087,351.2788,69.37284,-8.928225,-109.9516,10.40977,NAN,0,6.996873,8.02322,10.53848,15.75291,27.27,37.5,10.90889,15.38,-33.7,-12.21,0.5,1960,58.74481,1317.153,211.9562,135.8825,666.6667,81.83004,KormannMeixner
4/16/24 5:30,518,WES,12.61998,0.1599137,9,36000,-0.3471446,-0.000505996,9,36000,-5.728975,9,36000,NAN,0,-42.71317,-56.48481,-28.94152,-22.57927,-16.35271,-0.3176143,0,16.50314,0.005047336,9,0.06406433,0.07209361,0.05293547,8.333367,70.88914,3.365495,0.7811471,1.101956,13.18314,52.21367,3.60738,0.7946064,1.522081,8.141848,97.57464,7.781261,1.061329,1.087707,8.175703,101.3602,7.274742,0,0.1776615,0.2646976,0.8765354,0.1714113,-0.01507834,0.08015172,13.89931,0.208006,0,0.9333131,0.8943598,78.54217,16.54793,281.4578,3.607759,909.4694,12.44164,6.0133,0.08226476,0.8802603,0.8472675,NAN,NAN,-23.58267,1.210556,0.3953333,326.6044,351.0023,74.14673,-3.166254,-102.4507,10.41725,NAN,0.02222222,6.944632,7.875871,10.35451,15.62742,27.16445,37.48889,10.73444,15.2,-33.91,-12.59,0.5,1959,97.74546,4039.945,453.1086,270.9855,666.6667,64.61568,KormannMeixner
4/16/24 6:00,519,WES,12.62608,-0.1487362,9,36000,3.111036,0.004534787,9,36000,0.8312699,9,36000,NAN,0,-50.17916,-60.27902,-40.0793,-26.56456,-27.17754,0.06013142,0,0.2672004,0.003220456,7,0.05117253,-0.01309492,0.1592117,8.531878,70.84255,3.547725,0.7913428,1.11713,13.21943,52.74297,3.781749,0.8045067,1.526153,8.206797,97.575,7.845993,1.066136,1.092634,8.210741,101.3798,7.216464,0,0.2951218,0.4594691,0.5633597,0.3114121,-0.003208133,0.1016569,13.94446,0.4566805,0,0.7926863,0.6359793,62.35172,36.0146,297.6483,1.670838,904.0358,23.40601,6.087366,0.1163587,0.8844054,0.8504125,NAN,NAN,15.38233,44.50245,5.550222,329.071,352.6409,78.73107,2.753918,-94.94901,10.4244,18.30986,1,7.385182,8.083275,10.17947,15.48544,26.95555,37.46667,10.61778,15.01111,-33.72,-12.9,0.927,3565,54.41254,389.7554,120.3777,87.15253,666.6667,95.54781,KormannMeixner
4/16/24 6:30,520,WES,12.67167,0.2828968,9,36000,2.734611,0.003990518,9,36000,-12.99998,9,36000,NAN,0,20.27573,73.93916,-33.38771,99.89928,-20.43792,-0.1627808,0,-4.753866,0.01264166,9,0.1016007,0.1035396,0.09237383,9.77475,70.62315,4.695032,0.8581745,1.215696,14.37732,53.0038,4.92601,0.8721266,1.646259,9.327036,96.86118,8.853086,1.142038,1.179505,8.75988,101.3863,7.741326,0,0.1778543,0.3264691,0.8616543,0.2527609,-0.02033387,0.1194886,15.16675,0.7226034,0,0.9394288,0.8798166,78.33729,20.40426,281.6627,1.792985,853.6368,22.55383,6.572048,0.2378205,0.8866907,0.852505,NAN,NAN,83.33822,135.1838,21.56811,330.5974,360.8749,83.21614,8.450963,-87.44784,10.43176,6.749123,1,9.337093,9.533132,10.37677,15.30388,27.15333,37.24333,10.89333,14.98222,-25.97,-12.95,1,3857,38.81977,1524.724,177.0232,107.1768,666.6667,81.62705,KormannMeixner
4/16/24 7:00,521,WES,12.74822,-0.07942931,9,36000,27.34024,0.03997649,9,36000,4.121738,9,36000,NAN,0,12.73263,36.29404,-10.82879,45.96353,1.451811,0.3446586,0,0.1507572,0.01259576,3,0.1018033,-0.03298773,0.08462609,12.13714,69.70438,6.767608,0.9908675,1.422234,16.46137,53.47743,6.986605,1.005878,1.881253,11.60563,92.08858,10.36192,1.263545,1.373085,9.614606,101.3967,8.753746,0,0.3649629,0.2773347,0.4708446,0.2714156,-0.0195866,0.1366427,17.37873,0.6062711,0,0.6681201,0.5957271,52.21985,26.66282,307.7802,1.73223,795.4744,15.91947,7.52552,0.2916123,0.8884382,0.8541349,NAN,NAN,104.0171,225.7027,45.22611,298.3089,374.7683,87.69507,14.33629,-79.94691,10.43924,4.035881,1,12.48225,12.49721,11.23077,15.19344,27.23444,37.32778,11.42444,14.99333,-9.67,-12.28,1,3887,20.44621,170.2879,50.19504,34.33041,666.6667,98.59515,KormannMeixner
4/16/24 7:30,522,WES,12.81911,-0.3114497,7,36000,69.29949,0.1014763,7,36000,12.76841,7,36000,0,1,13.24652,13.65406,12.83897,24.37542,22.98069,0.5392553,0,0.1842497,0.02115737,6,0.1322782,-0.07904251,0.2186712,13.95455,62.92379,6.998609,1.006659,1.600642,17.97542,49.33114,7.201471,1.020774,2.069435,13.25151,82.62157,10.351,1.262507,1.529034,9.552068,101.414,10.48661,0,0.1536875,0.3917044,-0.5060421,0.4924521,-0.06151664,0.2034725,18.91107,0.2826203,0,0.7563748,0.5288664,286.8938,44.42374,73.10623,1.938604,770.4641,3.641952,7.597629,0.2966653,0.8910596,0.8564893,-49.14008,0,165.434,323.8305,66.84355,294.3352,385.8882,92.26842,20.26551,-72.44554,10.44645,2.889313,1,14.54211,15.84094,11.47657,15.32786,27.04555,37.40111,11.63556,15.24444,-10.72,-10.14,1,3898,10.34011,88.44003,27.47955,17.53902,666.6667,99.44065,KormannMeixner
4/16/24 8:00,523,WES,12.99705,-0.4520594,3,36000,137.0807,0.2008701,3,36000,64.20912,3,36000,30.73439,121,22.42657,19.50941,25.34374,28.66498,32.2132,0.9206859,0,0.4684037,0.0389126,3,0.1796205,-0.2934344,0.1606065,14.9261,60.2566,7.279797,1.026667,1.704399,18.70424,48.00902,7.470304,1.04017,2.166666,14.07835,78.28681,10.35125,1.262801,1.613523,9.526625,101.4164,11.26496,0,-0.2483872,0.3725291,-0.5794615,0.3515633,-0.02986186,0.2425661,19.66016,0.463208,0,0.7581984,0.6304525,246.7976,33.24813,113.2024,1.812001,776.3972,5.769744,7.722445,0.3829263,0.8914979,0.8568151,-47.8341,1.864972,241.0569,425.4253,86.24122,295.9947,394.1219,97.0498,26.18352,-64.94421,10.45374,2.268648,1,15.86128,18.14267,11.72661,15.58517,27.28778,37.12333,11.94889,15.56333,-9.16,-6.872,1,3955,7.286556,64.80893,19.91051,12.22358,666.6667,99.71397,KormannMeixner
4/16/24 8:30,524,WES,13.12307,-0.5222276,3,36000,160.174,0.2349512,3,36000,97.85516,4,36000,-103.3492,154,73.58516,106.9476,40.22275,111.0759,43.24544,1.058,0,0.6109303,0.02960575,4,0.1570018,-0.5135512,0.2220626,16.10897,59.60757,8.24212,1.096313,1.839005,19.77195,47.9213,8.427535,1.110232,2.316127,15.21599,76.14674,11.04306,1.322434,1.73685,9.936786,101.3902,12.05895,0,-0.4520976,0.4509976,-0.4247149,0.414719,-0.054578,0.2621729,20.79654,0.6047614,0,0.7964297,0.6203029,223.2113,38.09115,136.7887,1.918486,765.5316,4.511225,8.212221,0.3997209,0.8920549,0.8572106,-47.91174,2.151016,317.469,525.4433,103.7704,299.1245,403.3283,102.1773,32.04131,-57.44333,10.46121,1.886361,1,17.42046,19.33987,12.17911,15.87542,27.36778,37.24444,12.33,16.01778,-4.137,-3.026,1,3995,7.028315,55.76118,17.93209,11.43124,666.6667,99.81993,KormannMeixner
