ID 	 X 	 Y 	 Row 	 Col
0	468185.558249882	4442808.204821029	1700.8406982421875	1976.4619140625
1	468185.2198507151	4442832.863684684	1205.0322265625	1965.5184326171875
2	468129.3328220128	4442865.985074691	544.3777465820312	836.154052734375
3	468098.8660500685	4442861.472787186	638.690673828125	224.05059814453125
4	468144.39835433726	4442811.096882591	1649.3450927734375	1147.2764892578125
5	468193.37473932473	4442810.894265355	1646.2652587890625	2132.7841796875
6	468141.7930990951	4442822.645517871	1416.719970703125	1093.036865234375
7	468142.3752318022	4442807.846286899	1714.135009765625	1106.6466064453125
8	468185.61525872396	4442827.040363163	1322.4364013671875	1975.591552734375
9	468175.63635782927	4442812.85646231	1608.5189208984375	1776.108642578125
10	468111.8158138704	4442819.444964565	1485.335693359375	490.6241149902344
11	468147.973960203	4442806.659608652	1737.6455078125	1219.3966064453125
12	468170.52253702405	4442807.503615705	1716.5172119140625	1673.4964599609375
13	468136.79762062023	4442805.647681594	1759.0048828125	995.0971069335938
14	468111.17010591953	4442856.344310516	740.5315551757812	471.95343017578125
15	468132.2457214196	4442805.658596188	1760.1190185546875	902.9329833984375
16	468090.49770963704	4442845.77221665	956.6651000976562	56.438785552978516
17	468141.46426122123	4442871.396390866	432.8567810058594	1080.33544921875
18	468108.5490318858	4442806.577911001	1745.1473388671875	426.2310485839844
19	468114.8077586932	4442868.377939183	498.58892822265625	544.9585571289062
20	468134.4386142738	4442850.090565639	863.6438598632812	940.079833984375
21	468193.41653835593	4442855.32496977	749.916015625	2125.693359375
22	468138.194275468	4442810.916288711	1653.871337890625	1022.6124267578125
23	468143.58673294575	4442871.427698983	431.69464111328125	1122.4752197265625
24	468178.1477653028	4442809.721861397	1671.1343994140625	1826.979248046875
25	468183.75483115116	4442857.480096157	707.1295776367188	1930.343994140625
26	468170.9680520923	4442805.915792281	1748.4364013671875	1682.09130859375
27	468181.34533823555	4442823.718307768	1389.6610107421875	1890.0299072265625
28	468134.4587076988	4442808.8147674	1696.0445556640625	947.8666381835938
29	468149.2039720099	4442867.784014613	504.4261474609375	1235.6783447265625
30	468148.20265456464	4442805.6652449705	1757.5223388671875	1224.482177734375
31	468113.81231041084	4442865.788753204	550.6834106445312	524.9228515625
32	468120.532881504	4442807.71895977	1720.11279296875	667.706298828125
33	468104.18508858356	4442806.685097613	1742.8221435546875	338.45574951171875
34	468134.8911252666	4442846.239573111	941.7965087890625	950.3429565429688
35	468195.34570721275	4442810.785284159	1648.304443359375	2172.628173828125
36	468177.4430891804	4442837.485112249	1112.81201171875	1808.4969482421875
37	468135.3156672709	4442806.080493805	1750.6817626953125	965.187255859375
38	468145.60850219015	4442833.385590582	1199.94091796875	1168.4627685546875
39	468190.63279583736	4442806.816590528	1728.3568115234375	2078.065185546875
40	468101.9951273689	4442849.793362115	874.033935546875	287.8407897949219
41	468133.68448420183	4442830.619802935	1257.121826171875	928.4660034179688
42	468141.21690321557	4442806.674965574	1738.1124267578125	1083.4742431640625
43	468141.26671019744	4442809.574134861	1680.0064697265625	1084.7891845703125
44	468185.6198010737	4442807.937204588	1706.197998046875	1977.466796875
45	468167.5633433073	4442884.250213059	169.9874267578125	1602.953125
46	468144.83324901544	4442808.510806241	1700.941162109375	1156.294677734375
47	468096.93671719875	4442865.519427496	557.795166015625	185.59580993652344
48	468167.40445521066	4442872.3080331	410.44696044921875	1599.977294921875
49	468175.2110656312	4442820.60946059	1453.4169921875	1766.6180419921875
50	468185.0370387923	4442812.068452127	1623.7276611328125	1965.51171875
51	468115.1926139765	4442864.927788814	567.3136596679688	552.4141235351562
52	468181.83681223297	4442859.288356143	670.9786987304688	1891.5181884765625
53	468091.64251340687	4442819.515329867	1486.2369384765625	83.7398910522461
54	468097.464073258	4442820.039153909	1474.9046630859375	201.1102752685547
55	468134.22379702574	4442817.608264852	1519.4102783203125	941.681884765625
56	468093.23885733064	4442863.188402565	605.3882446289062	111.20618438720703
57	468118.15120165434	4442842.48830938	1019.7177734375	613.6265869140625
58	468133.73814512027	4442832.051691813	1228.1962890625	929.5382690429688
59	468164.188306892	4442883.533717741	185.15640258789062	1535.7508544921875
60	468146.9640405359	4442871.719879145	425.6978759765625	1190.2169189453125
61	468183.9529587944	4442858.419919227	688.4501342773438	1934.465576171875
62	468167.5478922578	4442884.776185452	159.62844848632812	1602.968994140625
63	468195.518798978	4442821.507328666	1432.9815673828125	2175.385009765625
64	468168.1978954357	4442807.51515399	1717.1319580078125	1626.6248779296875
