TIMESTAMP;SW_BELOW_ROWS;SW_BELOW_ORIG-CLUMPED;SW_BELOW_NON-CLUMPED
201306110715;198.40793385103822;79.63713714361646;124.50861096117109
201306110730;237.3145365008259;94.12327283036412;149.08481932222367
201306110745;261.7299525490485;115.97198541221587;170.82790020942073
201306110800;295.5129215066347;141.86145658435038;195.9007045102435
201306110815;329.19641312022685;174.14214297516025;221.55809695198937
201306110830;361.0256078165332;212.2914737411034;247.5882827401956
201306110845;390.52783232484825;256.6620901806364;276.05343988939643
201306110900;420.21773038445764;304.94210156294815;305.01361983810233
201306110915;466.0621210686661;364.86726879112337;342.4264209530602
201306110930;417.23767892495727;360.4269660553312;327.7345392748418
201306110945;358.80204499702904;331.2534892952695;298.62088203998326
201306111000;494.52192923600046;465.1966877765217;394.4857010790611
201306111015;504.60645342537106;490.89573485379395;409.69963221887093
201306111030;517.8921451472046;516.6472213091869;426.01448588774497
201306111045;530.4415891571191;539.2745650710425;440.97161115049863
201306111100;541.2780581512429;558.0752212721922;453.8804869847569
201306111115;550.3988484836891;573.2970509244232;464.6961101365104
201306111130;554.8620764510754;581.9745339783402;471.27824304969914
201306111145;562.4988222930945;592.8691927970342;479.21002438988694
201306111200;569.4233279208286;601.9726282792673;485.71983570464124
201306111215;574.6634599199851;608.3069139109999;490.0751095173815
201306111230;547.9250645327318;578.355999806382;470.20714229739644
201306111245;492.769651141064;516.7107726858369;428.0836267729953
201306111300;434.8596791091493;452.28814301787435;382.483506566752
201306111315;502.2627790170961;522.2107953081211;430.65899752694537
201306111330;595.977676675815;617.440319325619;492.15730509871105
201306111345;576.792695639089;588.8690688055414;473.21316973016553
201306111400;322.7735325539848;323.05139252174615;286.5212961003094
201306111415;202.52311096328822;200.84321583183822;188.52724117280144
201306111430;405.0159462957326;387.08113854066147;337.5098608799885
201306111445;283.90960154404024;268.10843998917653;246.96191404302698
201306111500;382.23304509704303;337.41210309801494;307.8757459587063
201306111515;432.73957969357286;349.9343765896732;327.37283662800223
201306111530;291.6810384805874;237.19510169307193;235.45468073652358
201306111545;141.13660332388773;126.50206560859897;128.311023658008
201306111600;100.34691408144727;93.08149834624362;94.70803584760796
201306111615;69.356767569639;67.62947248642976;68.13897322721303
201306111630;93.69492419044636;83.31803736811602;86.8981811956477
201306111645;94.08955921496087;80.57795738270141;85.61891761399377
201306111700;81.20359686141693;70.29625581674622;74.47638883316722
201306111715;61.95477982227083;56.417958986527076;58.518181029942326
201306111730;66.56681547571287;57.00204298988518;60.4917714429283
201306111745;38.68094711966842;37.399806287120626;37.83938162512319
201306111800;29.457196093377473;29.18748093412597;29.273398765484608
201306111815;35.63415410807423;32.9542653991424;33.76449026856244
201306111830;24.255257133745165;23.661131596267918;23.890764533430527
201306111845;23.071926068763684;23.072009487133098;23.40446562193009
201306111900;18.081425949695966;18.08142954446913;18.226403673630976
201306111915;9.596766962339089;9.596766963165514;9.601407181724657
201306111930;4.150342324485608;4.150342324485608;4.150342324485654
201306111945;0.791409657565219;0.791409657565219;0.791409657565219
201306120445;0.39522908836836246;0.39522908836836246;0.39522908836836246
201306120500;2.666619522485448;2.666619522485448;2.666619522485448
201306120515;6.2741724678386;6.274172467849674;6.274428570338088
201306120530;12.275357941006815;12.275358239631746;12.295040990875354
201306120545;25.219215348576277;25.219335758137767;25.857512835294465
201306120600;41.32240448652637;33.49766471740155;37.55523392824266
201306120615;70.2916268751422;41.66630832795766;50.43339709746867
201306120630;99.59765510333142;49.69367655410642;65.49900596847667
201306120645;131.0610027078001;58.15001281607252;82.97699163372197
