TIMESTAMP;ET;T_CEC;T_REA;T_FVS
20190628;3.3359524192661265;3.1734299757834923;3.1670506112605517;-9999
20190629;4.003263665574977;3.7486134712021717;3.792589387648788;3.2516273659141555
20190630;3.6757670796515334;3.565108323516881;3.5637890878651155;3.025796742804682
20190701;3.4229380727120033;3.1715539798674173;3.1718219478541716;2.695665984176961
20190702;3.49093343865504;3.280161999468369;3.2778023660078506;-9999
20190703;3.5974640667418405;3.3889117028467672;3.3841816366989517;3.1943323409913176
20190704;3.705094590590624;3.6104373779746;3.606449195995384;3.15607641100652
20190705;3.7180973199270766;3.553277319588277;3.5493456137394257;3.220123491336633
20190706;3.9918688661000665;3.771597177990201;3.7793857162836164;-9999
20190707;3.6306194982128734;3.4621270093189964;3.312716506081701;3.1299093104476445
20190708;3.118689791251223;3.0002503174672053;2.981052847887775;2.7343977382204505
20190709;2.8904293844819633;2.8165832512826605;2.820750260138467;2.5635827550231327
20190710;3.4133305443358437;3.2422041866635882;3.2377851120198953;2.73345663176565
20190711;3.867232983066547;3.6711684746984674;3.669794172957044;3.2595288195502565
20190712;3.69349709489873;3.460257287198463;3.514449635367299;3.011592352223363
20190713;3.589429209549633;3.360824370012869;3.377754223077203;2.827682429068459
20190714;3.5022005913406162;3.2551402554078823;3.2680242454635993;-9999
20190715;3.5160904269829536;3.2452957497945354;3.256623951121778;-9999
20190716;2.993536277146177;2.7305782577486655;2.7418930105973573;2.7130383602640498
20190717;3.09075256947483;2.902469853649566;2.9207706712997177;2.521196946737544
20190718;3.0273842777760365;2.9617045628985403;2.9610972537968636;2.728615458538981
20190719;2.636750870525183;2.486415034098698;2.499572226735579;2.2816202937584973
20190720;2.290640529601817;2.148585474475642;2.148065083339539;1.9281486712032323
20190721;2.73739914892835;2.6250338482143367;2.6226631951068815;2.2464292095971143
20190722;2.970374173866107;2.8593985821607086;2.9164437254036746;2.6959684119180825
20190723;2.904729871665323;2.6414896602467106;2.6140143759363097;2.3669830710808246
20190724;2.931848536964953;2.6696606470949926;2.656048232969665;2.535204657240481
20190725;2.5568276574585904;2.2611656830286293;2.44009075874303;2.1595485740210574
20190726;2.6833808046452035;2.544703381739231;2.5696950490773207;2.406206441009028
