TIMESTAMP;LAI
20170101;2.53
20170102;2.5
20170103;2.48
20170104;2.45
20170105;2.41
20170106;2.38
20170107;2.34
20170108;2.31
20170109;2.29
20170110;2.27
20170111;2.24
20170112;2.21
20170113;2.17
20170114;2.14
20170115;2.1
20170116;2.05
20170117;2.01
20170118;1.96
20170119;1.92
20170120;1.87
20170121;1.83
20170122;1.78
20170123;1.73
20170124;1.68
20170125;1.63
20170126;1.58
20170127;1.52
20170128;1.47
20170129;1.43
20170130;1.39
20170131;1.35
20170201;1.32
20170202;1.29
20170203;1.27
20170204;1.26
20170205;1.26
20170206;1.26
20170207;1.27
20170208;1.29
20170209;1.3
20170210;1.3
20170211;1.31
20170212;1.32
20170213;1.33
20170214;1.34
20170215;1.35
20170216;1.37
20170217;1.38
20170218;1.39
20170219;1.4
20170220;1.41
20170221;1.42
20170222;1.42
20170223;1.42
20170224;1.42
20170225;1.42
20170226;1.42
20170227;1.42
20170228;1.42
20170301;1.43
20170302;1.43
20170303;1.43
20170304;1.44
20170305;1.44
20170306;1.45
20170307;1.45
20170308;1.46
20170309;1.46
20170310;1.47
20170311;1.47
20170312;1.48
20170313;1.48
20170314;1.49
20170315;1.49
20170316;1.5
20170317;1.5
20170318;1.51
20170319;1.52
20170320;1.52
20170321;1.53
20170322;1.53
20170323;1.54
20170324;1.54
20170325;1.55
20170326;1.55
20170327;1.56
20170328;1.56
20170329;1.56
20170330;1.57
20170331;1.56
20170401;1.57
20170402;1.56
20170403;1.56
20170404;1.55
20170405;1.54
20170406;1.54
20170407;1.53
20170408;1.52
20170409;1.51
20170410;1.5
20170411;1.49
20170412;1.48
20170413;1.48
20170414;1.47
20170415;1.46
20170416;1.45
20170417;1.44
20170418;1.43
20170419;1.43
20170420;1.42
20170421;1.41
20170422;1.41
20170423;1.4
20170424;1.39
20170425;1.39
20170426;1.38
20170427;1.38
20170428;1.37
20170429;1.37
20170430;1.37
20170501;1.37
20170502;1.37
20170503;1.38
20170504;1.39
20170505;1.4
20170506;1.41
20170507;1.42
20170508;1.44
20170509;1.45
20170510;1.47
20170511;1.48
20170512;1.5
20170513;1.52
20170514;1.54
20170515;1.55
20170516;1.57
20170517;1.58
20170518;1.6
20170519;1.61
20170520;1.63
20170521;1.64
20170522;1.65
20170523;1.66
20170524;1.67
20170525;1.67
20170526;1.68
20170527;1.68
20170528;1.69
20170529;1.7
20170530;1.7
20170531;1.7
20170601;1.7
20170602;1.71
20170603;1.71
20170604;1.71
20170605;1.72
20170606;1.72
20170607;1.73
20170608;1.74
20170609;1.74
20170610;1.75
20170611;1.76
20170612;1.77
20170613;1.78
20170614;1.79
20170615;1.8
20170616;1.81
20170617;1.82
20170618;1.84
20170619;1.85
20170620;1.86
20170621;1.87
20170622;1.88
20170623;1.88
20170624;1.89
20170625;1.89
20170626;1.88
20170627;1.87
20170628;1.86
20170629;1.84
20170630;1.82
20170701;1.79
20170702;1.77
20170703;1.74
20170704;1.71
20170705;1.67
20170706;1.65
20170707;1.62
20170708;1.59
20170709;1.56
20170710;1.53
20170711;1.51
20170712;1.49
20170713;1.47
20170714;1.47
20170715;1.46
20170716;1.46
20170717;1.46
20170718;1.46
20170719;1.46
20170720;1.46
20170721;1.47
